工程字段	唯一值 / 执行语义
root_seed.algorithm	HMAC_SHA256
root_seed.key	SERVER_SECRET_32_BYTES
root_seed.message_fields	DOMAIN_UTF8=SANMING_WUCHANG_ROOT_V3_0 / MATCH_ID_UTF8 / RULESET_HASH_HEX_UTF8
root_seed.encoding	UINT32_BE_LENGTH_PREFIX_EACH_FIELD_THEN_RAW_BYTES
stream_seed.algorithm	HMAC_SHA256
stream_seed.key	ROOT_SEED_32_BYTES
stream_seed.message_fields	DOMAIN_UTF8=STREAM / STREAM_ID_UTF8
stream_seed.encoding	UINT32_BE_LENGTH_PREFIX_EACH_FIELD_THEN_RAW_BYTES
algorithm	PCG64_XSL_RR_128_64
streams	MAP_LAYOUT / MAP_FEATURE / SPAWN / REVIVE / SHOP / HERO_DRAFT / MONSTER / DROP / COMBAT_PROC / ACTIVE_SKILL / BOSS / BLACK_MOUNTAIN / AIR_DROP / STORM / BOT
consumption	ONE_DRAW_ONLY_WHEN_AUTHORITATIVE_EVENT_COMMITS; VALIDATION_FAILURE_CONSUMES_ZERO
shuffle	FISHER_YATES_WITH_STREAM
weighted_draw	POSITIVE_UINT64_WEIGHTS; SUM_MUST_FIT_UINT64; UNIFORM_INTEGER_HALF_OPEN_0_TO_SUM_MINUS_1_USING_REJECTION; FIRST_CUMULATIVE_GT_DRAW
replay_records	STREAM_ID / DRAW_ORDINAL_UINT64 / EVENT_ID / RESULT_OR_SHA256_RESULT
client_never_receives_future_stream_state	是
integer_uniform	REJECTION_SAMPLING_FROM_UINT64; REJECT_TAIL_ABOVE_LARGEST_MULTIPLE_OF_RANGE; MODULO_BIAS_FORBIDDEN
validation_failure_consumes_draw	否
storm_consumption	AT_EACH_3S_EPOCH, ELIGIBLE_PLAYER_ENTITY_ID_ASC; ONE_DRAW_PER_ELIGIBLE_PLAYER; INELIGIBLE_PLAYER_CONSUMES_ZERO
