工程字段	唯一值 / 执行语义
xiuwei.only_increases	是
xiuwei.per_match_cap	200
xiuwei.active_participation.per_active_minute	2
xiuwei.active_participation.cap	20
xiuwei.active_participation.completed_match_bonus	20
xiuwei.active_participation.afk_or_bot_takeover_time_earns	否
xiuwei.placement.30_21	0
xiuwei.placement.20_11	10
xiuwei.placement.10_6	25
xiuwei.placement.5_4	40
xiuwei.placement.3	55
xiuwei.placement.2	70
xiuwei.placement.1	90
xiuwei.placement.co_champion_each	90
xiuwei.player_kill.each	5
xiuwei.player_kill.cap	50
xiuwei.dragon_last_hit.each	10
xiuwei.dragon_last_hit.cap	20
xiuwei.core_last_hit.each	25
xiuwei.core_last_hit.cap	50
xiuwei.bot_account_reward	0
xiuwei.invalid_match_reward	0
xiuwei.human_match_with_fill_bots_multiplier	1
xiuwei.track[0].level	1
xiuwei.track[0].realm_zh	凡人·一层
xiuwei.track[0].required_from_previous	0
xiuwei.track[0].cumulative	0
xiuwei.track[0].reward_zh	初始形象(纯外观)
xiuwei.track[1].level	2
xiuwei.track[1].realm_zh	凡人·一层
xiuwei.track[1].required_from_previous	70
xiuwei.track[1].cumulative	70
xiuwei.track[1].reward_zh	头像框(纯外观)
xiuwei.track[2].level	3
xiuwei.track[2].realm_zh	凡人·二层
xiuwei.track[2].required_from_previous	80
xiuwei.track[2].cumulative	150
xiuwei.track[2].reward_zh	称号(纯外观)
xiuwei.track[3].level	4
xiuwei.track[3].realm_zh	凡人·二层
xiuwei.track[3].required_from_previous	80
xiuwei.track[3].cumulative	230
xiuwei.track[3].reward_zh	名片底纹(纯外观)
xiuwei.track[4].level	5
xiuwei.track[4].realm_zh	凡人·三层
xiuwei.track[4].required_from_previous	90
xiuwei.track[4].cumulative	320
xiuwei.track[4].reward_zh	边框特效(纯外观)
xiuwei.track[5].level	6
xiuwei.track[5].realm_zh	凡人·三层
xiuwei.track[5].required_from_previous	100
xiuwei.track[5].cumulative	420
xiuwei.track[5].reward_zh	击杀播报样式(纯外观)
xiuwei.track[6].level	7
xiuwei.track[6].realm_zh	炼气·一层
xiuwei.track[6].required_from_previous	110
xiuwei.track[6].cumulative	530
xiuwei.track[6].reward_zh	境界称号[炼气]+专属头像框(纯外观)
xiuwei.track[7].level	8
xiuwei.track[7].realm_zh	炼气·一层
xiuwei.track[7].required_from_previous	110
xiuwei.track[7].cumulative	640
xiuwei.track[7].reward_zh	称号(纯外观)
xiuwei.track[8].level	9
xiuwei.track[8].realm_zh	炼气·二层
xiuwei.track[8].required_from_previous	120
xiuwei.track[8].cumulative	760
xiuwei.track[8].reward_zh	名片底纹(纯外观)
xiuwei.track[9].level	10
xiuwei.track[9].realm_zh	炼气·二层
xiuwei.track[9].required_from_previous	130
xiuwei.track[9].cumulative	890
xiuwei.track[9].reward_zh	边框特效(纯外观)
xiuwei.track[10].level	11
xiuwei.track[10].realm_zh	炼气·三层
xiuwei.track[10].required_from_previous	150
xiuwei.track[10].cumulative	1040
xiuwei.track[10].reward_zh	击杀播报样式(纯外观)
xiuwei.track[11].level	12
xiuwei.track[11].realm_zh	炼气·三层
xiuwei.track[11].required_from_previous	160
xiuwei.track[11].cumulative	1200
xiuwei.track[11].reward_zh	头像框(纯外观)
xiuwei.track[12].level	13
xiuwei.track[12].realm_zh	筑基·一层
xiuwei.track[12].required_from_previous	170
xiuwei.track[12].cumulative	1370
xiuwei.track[12].reward_zh	境界称号[筑基]+专属头像框(纯外观)
xiuwei.track[13].level	14
xiuwei.track[13].realm_zh	筑基·一层
xiuwei.track[13].required_from_previous	190
xiuwei.track[13].cumulative	1560
xiuwei.track[13].reward_zh	名片底纹(纯外观)
xiuwei.track[14].level	15
xiuwei.track[14].realm_zh	筑基·二层
xiuwei.track[14].required_from_previous	200
xiuwei.track[14].cumulative	1760
xiuwei.track[14].reward_zh	边框特效(纯外观)
xiuwei.track[15].level	16
xiuwei.track[15].realm_zh	筑基·二层
xiuwei.track[15].required_from_previous	220
xiuwei.track[15].cumulative	1980
xiuwei.track[15].reward_zh	击杀播报样式(纯外观)
xiuwei.track[16].level	17
xiuwei.track[16].realm_zh	筑基·三层
xiuwei.track[16].required_from_previous	240
xiuwei.track[16].cumulative	2220
xiuwei.track[16].reward_zh	头像框(纯外观)
xiuwei.track[17].level	18
xiuwei.track[17].realm_zh	筑基·三层
xiuwei.track[17].required_from_previous	260
xiuwei.track[17].cumulative	2480
xiuwei.track[17].reward_zh	称号(纯外观)
xiuwei.track[18].level	19
xiuwei.track[18].realm_zh	金丹·一层
xiuwei.track[18].required_from_previous	280
xiuwei.track[18].cumulative	2760
xiuwei.track[18].reward_zh	境界称号[金丹]+专属头像框(纯外观)
xiuwei.track[19].level	20
xiuwei.track[19].realm_zh	金丹·一层
xiuwei.track[19].required_from_previous	300
xiuwei.track[19].cumulative	3060
xiuwei.track[19].reward_zh	边框特效(纯外观)
xiuwei.track[20].level	21
xiuwei.track[20].realm_zh	金丹·二层
xiuwei.track[20].required_from_previous	330
xiuwei.track[20].cumulative	3390
xiuwei.track[20].reward_zh	击杀播报样式(纯外观)
xiuwei.track[21].level	22
xiuwei.track[21].realm_zh	金丹·二层
xiuwei.track[21].required_from_previous	360
xiuwei.track[21].cumulative	3750
xiuwei.track[21].reward_zh	头像框(纯外观)
xiuwei.track[22].level	23
xiuwei.track[22].realm_zh	金丹·三层
xiuwei.track[22].required_from_previous	390
xiuwei.track[22].cumulative	4140
xiuwei.track[22].reward_zh	称号(纯外观)
xiuwei.track[23].level	24
xiuwei.track[23].realm_zh	金丹·三层
xiuwei.track[23].required_from_previous	420
xiuwei.track[23].cumulative	4560
xiuwei.track[23].reward_zh	名片底纹(纯外观)
xiuwei.track[24].level	25
xiuwei.track[24].realm_zh	元婴·一层
xiuwei.track[24].required_from_previous	460
xiuwei.track[24].cumulative	5020
xiuwei.track[24].reward_zh	境界称号[元婴]+专属头像框(纯外观)
xiuwei.track[25].level	26
xiuwei.track[25].realm_zh	元婴·一层
xiuwei.track[25].required_from_previous	500
xiuwei.track[25].cumulative	5520
