工程字段	唯一值 / 执行语义
instances[0].id	LAND_A
instances[0].type	LAND
instances[0].windows_s_half_open[0].open_inclusive_s	30
instances[0].windows_s_half_open[0].end_exclusive_s	210
instances[0].windows_s_half_open[1].open_inclusive_s	210
instances[0].windows_s_half_open[1].end_exclusive_s	390
instances[0].windows_s_half_open[2].open_inclusive_s	390
instances[0].windows_s_half_open[2].end_exclusive_s	570
instances[0].windows_s_half_open[3].open_inclusive_s	570
instances[0].windows_s_half_open[3].end_exclusive_s	750
instances[0].windows_s_half_open[4].open_inclusive_s	750
instances[0].windows_s_half_open[4].end_exclusive_s	900
instances[0].windows_s_half_open[5].open_inclusive_s	900
instances[0].windows_s_half_open[5].end_exclusive_s	1200
instances[0].window_event	RELOCATE_AND_ROLL_NEW_LISTING_AT_OPEN
instances[1].id	SHOE_A
instances[1].type	SHOE
instances[1].windows_s_half_open[0].open_inclusive_s	45
instances[1].windows_s_half_open[0].end_exclusive_s	225
instances[1].windows_s_half_open[1].open_inclusive_s	225
instances[1].windows_s_half_open[1].end_exclusive_s	405
instances[1].windows_s_half_open[2].open_inclusive_s	405
instances[1].windows_s_half_open[2].end_exclusive_s	585
instances[1].windows_s_half_open[3].open_inclusive_s	585
instances[1].windows_s_half_open[3].end_exclusive_s	795
instances[1].window_event	RELOCATE_AND_ROLL_NEW_LISTING_AT_OPEN
instances[2].id	TAIBAI
instances[2].type	TAIBAI
instances[2].windows_s_half_open[0].open_inclusive_s	60
instances[2].windows_s_half_open[0].end_exclusive_s	240
instances[2].windows_s_half_open[1].open_inclusive_s	240
instances[2].windows_s_half_open[1].end_exclusive_s	420
instances[2].windows_s_half_open[2].open_inclusive_s	420
instances[2].windows_s_half_open[2].end_exclusive_s	600
instances[2].windows_s_half_open[3].open_inclusive_s	600
instances[2].windows_s_half_open[3].end_exclusive_s	780
instances[2].windows_s_half_open[4].open_inclusive_s	780
instances[2].windows_s_half_open[4].end_exclusive_s	900
instances[2].windows_s_half_open[5].open_inclusive_s	900
instances[2].windows_s_half_open[5].end_exclusive_s	1200
instances[2].window_event	RELOCATE_SERVICE_AT_OPEN
instances[3].id	HEISHAN
instances[3].type	HEISHAN
instances[3].windows_s_half_open[0].open_inclusive_s	75
instances[3].windows_s_half_open[0].end_exclusive_s	255
instances[3].windows_s_half_open[1].open_inclusive_s	255
instances[3].windows_s_half_open[1].end_exclusive_s	435
instances[3].windows_s_half_open[2].open_inclusive_s	435
instances[3].windows_s_half_open[2].end_exclusive_s	615
instances[3].windows_s_half_open[3].open_inclusive_s	615
instances[3].windows_s_half_open[3].end_exclusive_s	750
instances[3].window_event	RELOCATE_SERVICE_AT_OPEN
instances[4].id	LAND_B
instances[4].type	LAND
instances[4].windows_s_half_open[0].open_inclusive_s	90
instances[4].windows_s_half_open[0].end_exclusive_s	270
instances[4].windows_s_half_open[1].open_inclusive_s	270
instances[4].windows_s_half_open[1].end_exclusive_s	450
instances[4].windows_s_half_open[2].open_inclusive_s	450
instances[4].windows_s_half_open[2].end_exclusive_s	630
instances[4].windows_s_half_open[3].open_inclusive_s	630
instances[4].windows_s_half_open[3].end_exclusive_s	885
instances[4].window_event	RELOCATE_AND_ROLL_NEW_LISTING_AT_OPEN
instances[5].id	SHOE_B
instances[5].type	SHOE
instances[5].windows_s_half_open[0].open_inclusive_s	105
instances[5].windows_s_half_open[0].end_exclusive_s	285
instances[5].windows_s_half_open[1].open_inclusive_s	285
instances[5].windows_s_half_open[1].end_exclusive_s	465
