工程字段	唯一值 / 执行语义
server_authoritative	是
reflect_and_dot_guards.REFLECT_CANNOT_TRIGGER_REFLECT	是
reflect_and_dot_guards.DOT_CANNOT_TRIGGER_BASIC_ATTACK_PROC	是
reflect_and_dot_guards.SPLASH_CANNOT_SPLASH_AGAIN	是
reflect_and_dot_guards.PLAYER_OWNED_SUMMON_CREDIT_OWNER_BUT_CANNOT_FARM_PERMANENT_KILL_LAYERS	是
positive_nonimmune_minimum_hp_or_shield_damage	1
periodic.first_tick	START_TICK_PLUS_INTERVAL
periodic.last_tick	TICK_TIME_LESS_THAN_OR_EQUAL_TO_EFFECT_END_TICK
periodic.tick_count	FLOOR(DURATION_S / INTERVAL_S)
periodic.zero_or_partial_interval_at_end	NO_EXTRA_TICK
periodic.same_tick_order	SOURCE_ENTITY_ID_ASC / EFFECT_INSTANCE_ID_ASC / TICK_ORDINAL_ASC
child_damage.default_proc_policy	NO_TRIGGER_SOURCE_DEFINING_PROC_AND_NO_RECURSIVE_CHILD_CHAIN_UNLESS_EXPLICIT_ALLOWLIST
child_damage.default_credit	INHERIT_PARENT_OWNER_CREDIT
child_damage.default_rng	NO_NEW_PROC_DRAW_UNLESS_EXPLICIT
child_damage.explicit_allowlist_authority	PER_EFFECT_TYPED_PAYLOAD
