工程字段	唯一值 / 执行语义
obeys_fog_and_same_input_interface	是
utility_actions	SURVIVE / STORM_ROUTE / FIGHT_PLAYER / FARM_MONSTER / FIND_BUILD_DROP / SHOP / SELECT_DRAGON_BY_ELEMENT / PUBLIC_EVENT / AMBUSH_OR_HIDE
profiles.FARMER.farm	1
profiles.FARMER.pvp	0.35
profiles.FARMER.shop	0.8
profiles.FARMER.boss	0.55
profiles.HUNTER.farm	0.35
profiles.HUNTER.pvp	1
profiles.HUNTER.shop	0.5
profiles.HUNTER.boss	0.7
profiles.SCAVENGER.farm	0.5
profiles.SCAVENGER.pvp	0.45
profiles.SCAVENGER.shop	0.9
profiles.SCAVENGER.boss	0.4
revive	USE_SAME_SERVER_REVIVE_ASSIGNMENT_AS_HUMAN
final_storm	MAXIMIZE_SURVIVAL_AND_LEGAL_DAMAGE; STEALTH_REMAINS_LEGAL
build_replace	EXPECTED_VALUE_USING_VISIBLE_OWN_BUILD_ONLY
utility_formula	PROFILE_WEIGHT*NEED_SCORE*SUCCESS_PROBABILITY*EXPECTED_VALUE/(1+PATH_TIME_S/30+DEATH_RISK*3)
recompute_interval_s	0.25
action_contracts.FARM_MONSTER.need	XP_DEFICIT / BUILD_DROP_NEED / LOCAL_PACK_TTK / THIRD_PARTY_RISK
action_contracts.FARM_MONSTER.never_reads_hidden_drop_weights	是
action_contracts.SHOP.requires_known_shop	是
action_contracts.SHOP.expected_gain_uses_own_build_and_visible_listing	是
action_contracts.SHOP.travel_budget_s	90
action_contracts.SELECT_DRAGON_BY_ELEMENT.uses_public_dragon_element	是
action_contracts.SELECT_DRAGON_BY_ELEMENT.bidirectional_counter_in_risk	是
action_contracts.BUILD_REPLACE.uses_only_own_inventory_and_public_rules	是
action_contracts.BUILD_REPLACE.replacement_modal_obeys_same_transaction_as_human	是
action_contracts.FINAL_STORM.may_hide_heal_fight_or_boss	是
action_contracts.FINAL_STORM.no_forced_reveal_knowledge	是
difficulty_locked_at_spawn	是
difficulty.D1.reaction_s	0.8
difficulty.D1.perception_refresh_s	0.5
difficulty.D1.aim_error_deg	14
difficulty.D1.dodge_probability_percent	5
difficulty.D1.retreat_hp_percent	20
difficulty.D1.combo_depth	1
difficulty.D1.decision_noise_percent	30
difficulty.D2.reaction_s	0.6
difficulty.D2.perception_refresh_s	0.35
difficulty.D2.aim_error_deg	10
difficulty.D2.dodge_probability_percent	15
difficulty.D2.retreat_hp_percent	28
difficulty.D2.combo_depth	1
difficulty.D2.decision_noise_percent	22
difficulty.D3.reaction_s	0.42
difficulty.D3.perception_refresh_s	0.25
difficulty.D3.aim_error_deg	7
difficulty.D3.dodge_probability_percent	30
difficulty.D3.retreat_hp_percent	35
difficulty.D3.combo_depth	2
difficulty.D3.decision_noise_percent	15
difficulty.D4.reaction_s	0.28
difficulty.D4.perception_refresh_s	0.18
difficulty.D4.aim_error_deg	4
difficulty.D4.dodge_probability_percent	48
difficulty.D4.retreat_hp_percent	40
difficulty.D4.combo_depth	3
difficulty.D4.decision_noise_percent	8
difficulty.D5.reaction_s	0.2
difficulty.D5.perception_refresh_s	0.12
difficulty.D5.aim_error_deg	2
difficulty.D5.dodge_probability_percent	62
difficulty.D5.retreat_hp_percent	45
difficulty.D5.combo_depth	4
difficulty.D5.decision_noise_percent	4
forbidden	READ_FOG_HIDDEN_ENTITY / READ_FUTURE_RNG_OR_DROP / AIM_AFTER_PROJECTILE_COMMIT / DAMAGE_HP_SPEED_COOLDOWN_BONUS / DYNAMIC_DIFFICULTY_RUBBERBAND / TELEPORT_OR_IGNORE_NAV
same_input_and_transaction_interface_as_human	是
