工程字段	唯一值 / 执行语义
common_required	event_id / event_time_server / session_id / account_hash / region / client_platform / build_version
match_required	match_id / population_mode / human_count / bot_count / mmr_bucket
events[0].id	session_start
events[0].authority	CLIENT
events[0].fields	device_tier / input_mode
events[1].id	matchmaking_start
events[1].authority	SERVER
events[1].fields	search_radius / new_player_match_index
events[2].id	match_created
events[2].authority	SERVER
events[2].fields	human_count / bot_mix / population_mode
events[3].id	match_load_complete
events[3].authority	CLIENT
events[3].fields	load_ms / resource_retry_count
events[4].id	hero_selected
events[4].authority	SERVER
events[4].fields	hero_id / reroll_count
events[4].required_fields	reroll_used / offer_set_index
events[5].id	spawn_assigned
events[5].authority	SERVER
events[5].fields	spawn_macro / spawn_micro / life_index
events[6].id	first_encounter
events[6].authority	SERVER
events[6].fields	other_type / elapsed_s / distance_m / los
events[7].id	monster_aggro
events[7].authority	SERVER
events[7].fields	monster_type / group_size / source_region
events[8].id	monster_killed
events[8].authority	SERVER
events[8].fields	monster_type / last_hit_source / kill_s / drop_ids
events[9].id	player_true_death
events[9].authority	SERVER
events[9].fields	life_index / killer_type / killer_id_hash / region_id / nearby_monsters / nearby_players
events[10].id	player_respawn
events[10].authority	SERVER
events[10].fields	life_index / soul_flight_s / respawn_region
events[11].id	loot_spawned
events[11].authority	SERVER
events[11].fields	item_id / source_type / region_id
events[12].id	loot_picked
events[12].authority	SERVER
events[12].fields	item_id / ground_age_s / result
events[13].id	skillbook_resolved
events[13].authority	SERVER
events[13].fields	book_id / action / replaced_id / result
events[14].id	gem_allocated
events[14].authority	SERVER
events[14].fields	passive_id / before_level / after_level
events[15].id	active_replaced
events[15].authority	SERVER
events[15].fields	old_active_id / new_active_id / source
events[16].id	equipment_changed
events[16].authority	SERVER
events[16].fields	item_id / action / slot / result
events[17].id	shop_discovered
events[17].authority	SERVER
events[17].fields	shop_type / region_id / method
events[18].id	shop_transaction
events[18].authority	SERVER
events[18].fields	transaction_id / shop_type / action / item_id / gold_delta / result / latency_ms
events[19].id	boss_engagement
events[19].authority	SERVER
events[19].fields	boss_type / element / participants / elapsed_s
events[20].id	boss_killed
events[20].authority	SERVER
events[20].fields	boss_type / element / last_hit_element / upgrade_triggered / participant_count / drop_ids
events[21].id	storm_stage
events[21].authority	SERVER
events[21].fields	stage / safe_radius_m / center_target
events[22].id	storm_hit
events[22].authority	SERVER
events[22].fields	stage / damage / stunned / escaped_after_s
events[23].id	match_settled
events[23].authority	SERVER
events[23].fields	settlement_id / placement / kills_human / kills_bot / mmr_delta_internal / xiuwei / ledger_created / ledger_transferred / ledger_destroyed
events[24].id	disconnect_state
events[24].authority	SERVER
events[24].fields	state / duration_s / bot_takeover / device_switch
events[25].id	performance_sample
events[25].authority	CLIENT
events[25].fields	frame_ms / memory_mb / rtt_ms / packet_loss / position_correction_m
events[26].id	ui_input
events[26].authority	CLIENT
events[26].fields	action / control / hold_ms / cancelled / drawer_state
events[27].required_fields	match_id / participant_slot / server_tick
events[27].id	airdrop_warned
events[27].authority	SERVER
events[27].fields	match_id / participant_slot / server_tick
events[28].required_fields	match_id / participant_slot / server_tick
events[28].id	airdrop_arrived
events[28].authority	SERVER
