工程字段	唯一值 / 执行语义
cloud[0].id	smart_cast
cloud[0].type	bool
cloud[0].default	是
cloud[1].id	tutorial_tips
cloud[1].type	bool
cloud[1].default	是
cloud[2].id	colorblind_mode
cloud[2].type	enum
cloud[2].values	OFF / DEUTERANOPIA / PROTANOPIA / TRITANOPIA
cloud[2].default	OFF
cloud[2].legacy_value_mapping.A	DEUTERANOPIA
cloud[2].legacy_value_mapping.B	PROTANOPIA
cloud[2].legacy_value_mapping.C	TRITANOPIA
cloud[3].id	high_contrast_indicators
cloud[3].type	bool
cloud[3].default	否
cloud[4].id	reduced_flashes
cloud[4].type	bool
cloud[4].default	否
cloud[5].id	camera_shake
cloud[5].type	bool
cloud[5].default	是
cloud[6].id	damage_numbers
cloud[6].type	bool
cloud[6].default	是
cloud[7].id	battle_history_public
cloud[7].type	bool
cloud[7].default	是
cloud[8].id	frequent_heroes_public
cloud[8].type	bool
cloud[8].default	是
cloud[9].id	region
cloud[9].type	enum
cloud[9].values	AUTO / CN / APAC / EU / NA / MENA
cloud[9].default	AUTO
device_local[0].id	quality
device_local[0].type	enum
device_local[0].values	AUTO / LOW / MEDIUM / HIGH
device_local[0].default	AUTO
device_local[1].id	fps_cap
device_local[1].type	enum
device_local[1].values	30 / 45 / 60
device_local[1].default	30
device_local[2].id	resolution_scale
device_local[2].type	enum
device_local[2].values	0.7 / 0.85 / 1
device_local[2].default	0.85
device_local[3].id	master_volume
device_local[3].type	range
device_local[3].min	0
device_local[3].max	100
device_local[3].default	80
device_local[4].id	music_volume
device_local[4].type	range
device_local[4].min	0
device_local[4].max	100
device_local[4].default	60
device_local[5].id	sfx_volume
device_local[5].type	range
device_local[5].min	0
device_local[5].max	100
device_local[5].default	80
device_local[6].id	ui_volume
device_local[6].type	range
device_local[6].min	0
device_local[6].max	100
device_local[6].default	70
device_local[7].id	mobile_control_scale
device_local[7].type	range
device_local[7].min	80
device_local[7].max	120
device_local[7].default	100
device_local[8].id	mobile_control_opacity
device_local[8].type	range
device_local[8].min	80
device_local[8].max	120
device_local[8].default	100
device_local[9].id	pc_aim_sensitivity
device_local[9].type	range
device_local[9].min	50
device_local[9].max	200
device_local[9].default	100
device_local[10].id	show_network_stats
device_local[10].type	bool
device_local[10].default	否
gameplay_information_must_not_change_with_quality	是
controller_supported	否
color_is_never_sole_gameplay_channel	是
element_shape_symbols.METAL	DIAMOND
element_shape_symbols.WOOD	LEAF
element_shape_symbols.WATER	WAVE
element_shape_symbols.FIRE	FLAME
element_shape_symbols.EARTH	SQUARE
cloud_conflict	LATEST_SERVER_UPDATED_AT_PER_FIELD; TIE_HIGHER_RESOURCE_VERSION
device_local_not_cloud_synced	是
reduced_flashes.alternate_required	是；每个强闪光预警（五行爆发/雷暴落点/硬控预警）必须提供形状脉冲+边框+文字三合一低闪替代资产
reduced_flashes.asset_naming	原资产ID后缀_LOWFLASH；缺失低闪变体时构建失败
reduced_flashes.identical_timing	低闪替代的预警时长与判定完全一致，仅表现不同
