工程字段	唯一值 / 执行语义
fixed_step_hz	20
basic_attack.legal_targets	OTHER_ALIVE_PLAYER / HOSTILE_MONSTER / DAMAGEABLE_HOSTILE_SUMMON
basic_attack.target_selection.touch_tap	LOCKED_TARGET_IF_LEGAL_ELSE_VISIBLE_TARGET_IN_FACING_SECTOR
basic_attack.target_selection.windows_left_click	VISIBLE_LEGAL_TARGET_UNDER_POINTER_ELSE_VISIBLE_TARGET_IN_FACING_SECTOR
basic_attack.target_selection.facing_sector_full_angle_deg	24
basic_attack.target_selection.tie_break	MOST_RECENT_VALID_DAMAGE_TO_SELF / SMALLEST_SCREEN_ANGLE / SHORTEST_NAV_DISTANCE / ENTITY_ID
basic_attack.movement_during_windup	FULL_SPEED_ALLOWED
basic_attack.cancel_before_release	CAST_ACTIVE / HARD_CONTROL / TRUE_DEATH
basic_attack.move_input_does_not_cancel	是
basic_attack.validate_range_and_direct_visibility_again_at_release	是
basic_attack.attack_interval_s	1 / CURRENT_ATTACKS_PER_SECOND; STARTS_AT_RELEASE_TICK
basic_attack.base_crit_chance_percent	0
basic_attack.base_crit_damage_multiplier	2
basic_attack.monster_can_crit	否
basic_attack.templates.长弓.windup_s	0.35
basic_attack.templates.长弓.backswing_visual_s	0.15
basic_attack.templates.长弓.delivery	PROJECTILE
basic_attack.templates.长弓.projectile_speed_mps	45
basic_attack.templates.长弓·飞行.windup_s	0.35
basic_attack.templates.长弓·飞行.backswing_visual_s	0.15
basic_attack.templates.长弓·飞行.delivery	PROJECTILE
basic_attack.templates.长弓·飞行.projectile_speed_mps	45
basic_attack.templates.连弩.windup_s	0.18
basic_attack.templates.连弩.backswing_visual_s	0.1
basic_attack.templates.连弩.delivery	PROJECTILE
basic_attack.templates.连弩.projectile_speed_mps	55
basic_attack.templates.连弩·飞行.windup_s	0.18
basic_attack.templates.连弩·飞行.backswing_visual_s	0.1
basic_attack.templates.连弩·飞行.delivery	PROJECTILE
basic_attack.templates.连弩·飞行.projectile_speed_mps	55
basic_attack.templates.刺客.windup_s	0.22
basic_attack.templates.刺客.backswing_visual_s	0.12
basic_attack.templates.刺客.delivery	MELEE_RELEASE_HIT
basic_attack.templates.刺客.projectile_speed_mps	0
basic_attack.templates.刺客·飞行.windup_s	0.22
basic_attack.templates.刺客·飞行.backswing_visual_s	0.12
basic_attack.templates.刺客·飞行.delivery	MELEE_RELEASE_HIT
basic_attack.templates.刺客·飞行.projectile_speed_mps	0
basic_attack.templates.战士.windup_s	0.3
basic_attack.templates.战士.backswing_visual_s	0.15
basic_attack.templates.战士.delivery	MELEE_RELEASE_HIT
basic_attack.templates.战士.projectile_speed_mps	0
basic_attack.templates.坦克.windup_s	0.38
basic_attack.templates.坦克.backswing_visual_s	0.2
basic_attack.templates.坦克.delivery	MELEE_RELEASE_HIT
basic_attack.templates.坦克.projectile_speed_mps	0
basic_attack.projectile_tags	BLOCKED_BY_STATIC_SOLID / BLOCKABLE_BY_WIND_WALL / OWNER_CREDIT_PERSISTS_AFTER_OWNER_DEATH
basic_attack.ranged_projectile.tracking	HOMING_TO_COMMITTED_TARGET_CENTER
basic_attack.ranged_projectile.vision_loss_after_release	CONTINUE
basic_attack.ranged_projectile.blocked_by	STATIC_SOLID / WIND_WALL / FROZEN_RIVER
basic_attack.ranged_projectile.target_eliminated_before_impact	DESTROY_PROJECTILE
basic_attack.ranged_projectile.owner_true_death_or_elimination	CONTINUE_WITH_ORIGINAL_CREDIT
basic_attack.ranged_projectile.collision_radius_m	0.12
basic_attack.ranged_projectile.continuous_sweep_each_tick	是
basic_attack.proc_generated_basic_classification.B11_EXTRA_BASIC	DamageForm=BASIC; OwnerCredit=CASTER; COUNTS_AS_BASIC_HIT_FOR_P16_AND_OTHER_ELIGIBLE_PASSIVES
basic_attack.proc_generated_basic_classification.SPLASH_DOT_REFLECT_EQUIPMENT_PROC	NOT_BASIC_EVEN_IF_ORIGINATED_FROM_BASIC
attributes.order	BASE_LEVEL_ROW / FLAT_MODIFIERS_SUM / PERCENT_MODIFIERS_MULTIPLY / TEMPORARY_MULTIPLIERS
attributes.move_speed_flat_unit	GAME_SPEED_UNIT_0_01_MPS
attributes.movement_speed_cap	NONE
attributes.attack_speed_cap	NONE
attributes.max_hp_change_preserves_hp_ratio	是
attributes.same_named_equipment_worn_unique	是
attributes.different_shoes_stack_normally	是
control_stacking.hard_control_same_kind	KEEP_LATER_END_TIME; DO_NOT_ADD_DURATIONS
control_stacking.different_hard_controls	COEXIST; EFFECTIVE_RESTRICTIONS_ARE_UNION
control_stacking.slow	ONLY_STRONGEST_PERCENT_APPLIES; DURATION_TRACKED_PER_SOURCE
