工程字段	唯一值 / 执行语义
expiry.SKILL_BOOK.mode	NEVER_IN_SAFE_ZONE
expiry.WHITE_EQUIPMENT.mode	NEVER_IN_SAFE_ZONE
expiry.BLUE_EQUIPMENT.mode	NEVER_IN_SAFE_ZONE
expiry.PURPLE_EQUIPMENT.mode	NEVER_IN_SAFE_ZONE
expiry.GOLD_EQUIPMENT.mode	NEVER_IN_SAFE_ZONE
expiry.GENERIC_ACTIVE.mode	NEVER_IN_SAFE_ZONE
expiry.BOSS_DROP.mode	NEVER_IN_SAFE_ZONE
expiry.GEM.mode	AFTER_S
expiry.GEM.seconds	60
expiry.NORMAL_CHEST.mode	AFTER_S
expiry.NORMAL_CHEST.seconds	60
expiry.AIR_DROP_CHEST.mode	AFTER_S
expiry.AIR_DROP_CHEST.seconds	120
storm_doom.continuous_outside_safe_zone_s	60
storm_doom.reenter_safe_zone_before_60s	CANCEL_AND_RESET_TIMER_TO_ZERO
storm_doom.covered_again	START_NEW_60S_TIMER
storm_doom.applies_to_all_ground_items_including_permanent_classes	是
storm_doom.same_tick_pickup_vs_destroy	PICKUP_STAGE_PRECEDES_STORM_DOOM_STAGE; LEGALLY_COMMITTED_PICKUP_WINS
storm_doom.safe_radius_zero	ALL_GROUND_ITEMS_START_OR_CONTINUE_DOOM_TIMER_EVEN_AT_EXACT_CIRCLE_CENTER
storm_doom.center_point_is_not_a_safe_reentry_when_radius_zero	是
storm_doom.timer_resolution	CONTINUOUS_SERVER_TIME; DESTROY_WHEN_ACCUMULATED_CURRENT_OUTSIDE_SEGMENT_GTE_60S
virtual_loot_cluster.grid_cell_m	4
virtual_loot_cluster.minimum_entries	2
virtual_loot_cluster.server_container_not_item_merge	是
virtual_loot_cluster.preserves_each_item_instance	是
virtual_loot_cluster.preserves_each_item_instance_id_and_B35_consumed_flag	是
virtual_loot_cluster.client_entries_per_page	12
virtual_loot_cluster.sort	QUALITY_DESC / TYPE_ENUM_ASC / GROUND_SPAWN_TICK_ASC / ITEM_INSTANCE_ID_ASC
virtual_loot_cluster.beam	HIGHEST_QUALITY_IN_CLUSTER
virtual_loot_cluster.network_entity_one_per_nonempty_cell	是
ground_entity_capacity.authoritative_item_record_hard_cap	NONE
ground_entity_capacity.performance_alarm_records	8192
ground_entity_capacity.replicated_cluster_soft_cap	256
ground_entity_capacity.overflow	KEEP_ALL_SERVER_RECORDS; INCREASE_CLUSTER_PAGING_AND_LOD; NEVER_DELETE_OR_REFUSE_LEGAL_DROP
ground_entity_capacity.integrity	ITEM_LEDGER_COUNT_MUST_EQUAL_LIVE_RECORDS_PLUS_CONSUMED_OR_DESTROYED_RECORDS
legal_ground_placement.must_be_on_nav_ground	是
legal_ground_placement.must_not_overlap_static_or_dynamic_solid	是
legal_ground_placement.fallback_order	LOCAL_8_RAYS / NEAREST_NAV_WITHIN_6M / NEAREST_GLOBAL_LEGAL_NAV_BY_DISTANCE_THEN_ID
legal_ground_placement.unreachable_or_inside_solid_item_spawn	FORBIDDEN
ground_capacity.allocated_item_records	16384
ground_capacity.allocated_virtual_clusters	1024
ground_capacity.content_build_worst_case_window_s	1800
ground_capacity.content_build_max_legal_concurrent_records	12288
ground_capacity.build_assertion	COMPUTED_WORST_CASE_LTE_12288; FAIL_CONTENT_BUILD_OTHERWISE
ground_capacity.runtime_overflow_is_integrity_abort_not_item_DELETION	是
ground_capacity.replication	SPATIAL_INTEREST_CELLS / PAGED_CLUSTER_CONTENT / FULL_SERVER_LEDGER
interact_priority.order	1 致命安全提示 → 2 英雄目标交互 → 3 商店/太白/黑山 → 4 空投 → 5 宝箱 → 6 遗宝堆 → 7 普通拾取
interact_priority.tie_break	同级多目标按世界距离mm升序，再按instance_id升序
interact_priority.short_press_cycles_same_level	是；再次短按在同级目标间轮换
relic_pile.default_focus	打开列表默认焦点第一项（页面序号1）
relic_pile.page_keeps_ordinal	翻页后焦点保持同一序号位
relic_pile.focus_item_removed	焦点物被取走/销毁→焦点移到下一项；无下一项→上一项；列表空→关闭
