工程字段	唯一值 / 执行语义
base_direct_vision_m	30
direct_vision_requires_line_of_sight	是
wall_blocks_direct_vision_and_target_lock	是
damage_player_reveal.duration_s	3
damage_player_reveal.refresh	是
damage_player_reveal.replication_rate_cap_hz	1
damage_player_reveal.shows_exact_minimap_position	是
fushi.ring_width_m	2
fushi.outside_cannot_see_inside	是
fushi.same_ring_mutual_vision	是
fushi.break_on	BASIC_RELEASE / ACTIVE_CAST_COMMIT / ACTUAL_HP_OR_SHIELD_DAMAGE
fushi.pickup_does_not_break	是
fushi.aoe_blind_cast_allowed	是
stealth.direct_targeting_forbidden_unless_revealed	是
stealth.collision_and_blind_aoe_still_apply	是
stealth.walls_still_block_reveal	是
stealth.episode_id	MONOTONIC_UINT32_PER_PLAYER_INCREMENT_ON_EACH_ENTER_STEALTH
stealth.break_event.fields	player_entity_id / stealth_episode_id / cause / server_tick
stealth.break_event.hostile_action_causes	OWNER_BASIC_RELEASE_AGAINST_HOSTILE / OWNER_HOSTILE_ACTIVE_CAST_COMMIT
stealth.break_event.reveal_is_not_hostile_break	是
stealth.break_event.one_equipment_trigger_per_episode	是
stealth.break_event.hostile_active_definition	TARGETS_HOSTILE_OR_CREATES_PLAYER_OWNED_DAMAGE_CONTROL_TRAP_OR_HOSTILE_SUMMON
stealth.break_event.only_emit_on_actual_state_transition	是
stealth.source_kinds.FUSHI_HIDDEN	COUNTS_AS_STEALTH
stealth.source_kinds.ACTIVE_STEALTH	COUNTS_AS_STEALTH
stealth.source_kinds.EQUIPMENT_STEALTH	COUNTS_AS_STEALTH
stealth.source_kinds.FOG_OF_WAR_ONLY	NOT_STEALTH
stealth.source_kinds.SMOKE_OCCLUSION_ONLY	NOT_STEALTH
reveals.DEMON_MIRROR.radius_m	20
reveals.DEMON_MIRROR.duration_s	3
reveals.DEMON_MIRROR.wall_blocked	是
reveals.DEMON_MIRROR.fushi_stone_not_blocker	是
reveals.DEMON_PEARL.radius_m	20
reveals.DEMON_PEARL.duration	WHILE_WORN
reveals.DEMON_PEARL.wall_blocked	是
reveals.CORE_BOSS_EYE.radius_m	10
reveals.CORE_BOSS_EYE.source	LIVING_CORE_BOSS_OR_DEATH_ANCHOR
reveals.CORE_BOSS_EYE.shared_to_all_players_inside_radius	是
reveals.CORE_BOSS_EYE.reveals_all_stealth_and_fushi	是
reveals.CORE_BOSS_EYE.after_boss_death_s	10
reveals.CORE_BOSS_EYE.anchor_at_death_position	是
smoke_H038.enemy_inside_direct_vision_cap_m	2
smoke_H038.blocks_vision_across_boundary	是
smoke_H038.caster_vision_unchanged	是
smoke_H038.true_sight_overrides	是
final_storm.does_not_force_reveal	是
final_storm.does_not_disable_stealth_fushi_or_healing	是
information_state_machine.states	UNKNOWN / VISIBLE / DIRECTION / POSITION_SNAPSHOT / REVEALED
information_state_machine.targetable_states	VISIBLE / REVEALED
information_state_machine.UNKNOWN	NO_WORLD_OR_MINIMAP_ENEMY_POSITION
information_state_machine.VISIBLE	DIRECT_LOS_AND_RANGE; WORLD_RENDER_AND_LEGAL_TARGETING
information_state_machine.DIRECTION	FUZZY_REGION_OR_DIRECTION_ONLY; NO_TARGET_LOCK
information_state_machine.POSITION_SNAPSHOT	MINIMAP_POINT_AT_SNAPSHOT_TICK; NO_TARGET_LOCK; DOES_NOT_FOLLOW
information_state_machine.REVEALED	EXACT_TRACKED_POSITION_FOR_EFFECT_DURATION; TARGETING_STILL_REQUIRES_SKILL_RANGE_AND_WALL_RULE
information_state_machine.no_generic_last_known_ghost	是
information_state_machine.direct_visibility_loss	VISIBLE_TO_UNKNOWN_IMMEDIATELY_UNLESS_AN_EXPLICIT_EFFECT_SEPARATELY_GRANTS_DIRECTION_SNAPSHOT_OR_REVEAL
damage_player_reveal.source	ATTACKER_ENTITY
damage_player_reveal.recipient	EACH_ACTUALLY_DAMAGED_VICTIM_ONLY
damage_player_reveal.information_state	POSITION_SNAPSHOT_STREAM_ON_MINIMAP; NEVER_GRANTS_TARGET_LOCK_OR_WALL_BYPASS
damage_player_reveal.refresh_semantics	NEW_ACTUAL_DAMAGE_RESETS_END_TICK_TO_NOW_PLUS_3S
fushi.volume_id	MAP_FUSHI_CANDIDATE_ID
fushi.overlap_mutual_vision	TWO_ENTITIES_MUTUALLY_VISIBLE_IF_THEIR_ACTIVE_FUSHI_VOLUME_ID_SETS_INTERSECT
fushi.overlap_no_common_id	OUTSIDE_CANNOT_SEE_INSIDE_REMAINS
stealth.sources_independent	是；ACTIVE_STEALTH / EQUIPMENT_STEALTH / FUSHI_HIDDEN各自独立计时与破隐，不互相消耗
stealth.hostile_action_clears_active_and_equipment	敌对普攻释放或敌对主动提交清除D7 / P13，并使伏石内单位显形1.5秒
stealth.fushi_rehide_after_reveal_s	1.5；显形结束时仍在伏石半径内才重新隐藏，否则保持可见
stealth.fushi_not_cleared_by_leaving_combat	伏石隐藏只由位置决定；战斗状态不改变判定
reveal.d12_overrides_stealth_and_fushi	是；D12精确显形覆盖一切隐身与伏石隐藏
reveal.d12_no_through_wall_lock	是；墙体阻挡直接视线时仅提供位置情报（小地图与轮廓），不可锁定
reveal.smoke_interaction	显形不穿透H038烟雾的锁定禁止；烟内目标同样仅位置情报
