工程字段	唯一值 / 执行语义
statuses	DESIGN_PASS / BLOCKING_PRERELEASE_ENGINE / BLOCKING_PRERELEASE_DEVICE / BLOCKING_PRERELEASE_EXTERNAL / BLOCKING_PREDEVELOPMENT_FORMULA / MONITOR_ONLY / TOOL_PASS / TOOL_PENDING
gates[0].id	G_DATA_CONSISTENCY
gates[0].level	P0
gates[0].status	TOOL_PASS
gates[0].pass	unified_checker_fail_count==0
gates[1].id	G_MAP_RUNTIME
gates[1].level	L3
gates[1].status	BLOCKING_PRERELEASE_ENGINE
gates[1].pass	first_encounter_p50_s in [60,90] and spawn_face_violation==0
gates[2].id	G_COMBAT_RUNTIME
gates[2].level	L3
gates[2].status	BLOCKING_PRERELEASE_ENGINE
gates[2].pass	five_element_error<=0.01 and dragon_4p_ttk_s in [17,26]
gates[3].id	G_INPUT_RUNTIME
gates[3].level	L3
gates[3].status	BLOCKING_PRERELEASE_ENGINE
gates[3].pass	touch_error<0.03 and aim_mode_error<0.02
gates[4].id	G_LOW_MOBILE_PERF
gates[4].level	L3
gates[4].status	BLOCKING_PRERELEASE_ENGINE
gates[4].pass	fps_sustained>=30 and frame_p99_ms<=50 and memory_peak_mb<=850
gates[5].id	G_NETWORK
gates[5].level	L3
gates[5].status	BLOCKING_PRERELEASE_ENGINE
gates[5].pass	tick_hz==20 and rtt_p95_ms<=80 and duplication_count==0
gates[6].id	G_NEW_PLAYER_COMPREHENSION
gates[6].level	L4
gates[6].status	BLOCKING_PRERELEASE_DEVICE
gates[6].pass	core_controls_without_help>=0.85
gates[7].id	G_CROSS_INPUT_FAIRNESS
gates[7].level	LIVE
gates[7].status	MONITOR_ONLY
gates[7].pass	adjusted_win_index in [0.45,0.55] with n>=2000 per input
gates[8].id	G_ASSET_RIGHTS
gates[8].level	EXTERNAL
gates[8].status	BLOCKING_PRERELEASE_EXTERNAL
gates[8].pass	owner_signoff==true
gates[9].id	G_REGION_COMPLIANCE
gates[9].level	EXTERNAL
gates[9].status	BLOCKING_PRERELEASE_EXTERNAL
gates[9].pass	regional_legal_signoff==true
gates[10].id	G_ECONOMY_EXPLOIT
gates[10].level	P0
gates[10].status	TOOL_PENDING
gates[10].pass	conservation_ledger_zero_diff and P10_P50_P90_in_band and extreme_build_sims_pass and shop_sellout_assert_pass and no_repeat_pickup_gold and no_recursive_attack_loop
gates[11].id	G_FINAL_STORM
gates[11].level	L1
gates[11].status	TOOL_PENDING
gates[11].pass	all_extreme_builds_have_finite_P99_and_no_hidden_reveal
gates[12].id	G_REPLAY_HASH
gates[12].level	L3
gates[12].status	BLOCKING_PRERELEASE_ENGINE
gates[12].pass	same_ruleset_replay_hash_exact
gates[13].id	G_ACCOUNT_MERGE
gates[13].level	L3
gates[13].status	BLOCKING_PRERELEASE_ENGINE
gates[13].pass	all_merge_cases_preserve_entitlements_and_progress
gates[14].id	G_TRANSACTION_INTEGRITY
gates[14].level	L3
gates[14].status	BLOCKING_PRERELEASE_ENGINE
gates[14].pass	zero_duplicate_or_partial_commit_under_disconnect_and_same_tick_contention
gameplay_monetization_enabled	否
release_candidate_requires_all_blocking_prerelease_gates	是
cross_input_fairness.warning_min_matches_per_input	2000
cross_input_fairness.decision_min_matches_per_input	10000
predevelopment_blueprint_required	G_DATA_CONSISTENCY / G_ECONOMY_EXPLOIT / G_FINAL_STORM / G_NO_EMPTY_CELLS / G_PROJECTION_DRIFT
