工程字段	唯一值 / 执行语义
catalog_signature_cd_is_authoritative	是
scheduler_cd_only_default_when_signature_cd_missing	是
respawn.avoid_all_living_player_direct_vision_first	是
respawn.degraded_after_no_point_s	5
respawn.degraded_requires	AVOID_KILLER_DIRECT_VISION / DISTANCE_FROM_ANY_PLAYER_AT_LEAST_12M
respawn.covered_node_cancels_pending_respawn_immediately	是
respawn.scheduled_respawn_query	AT_DUE_TICK_BUILD_SORTED_LEGAL_CANDIDATE_SET_ONCE
respawn.no_candidate_retry_interval_s	1
respawn.no_candidate_first_5s	NO_RNG_DRAW; REQUERY_STRICT_CANDIDATES_EACH_SECOND
respawn.after_5s	REQUERY_DEGRADED_CANDIDATES_EACH_SECOND; DRAW_ONCE_ONLY_WHEN_NONEMPTY
respawn.candidate_sort	POINT_ID_ASC_BEFORE_ONE_UNIFORM_MONSTER_RNG_DRAW
threat.damage_weight	1
threat.proximity_score_range	0 / 200
threat.reachable_score	100
threat.unreachable_score	0
threat.decay_percent_per_s	10
threat.recompute_s	0.25
threat.tie_break	NEAREST_NAV_DISTANCE / ENTITY_ID
threat.summon_inherits_owner_threat_rate	0.6
threat.stone_arhat_fixed_taunt	300
legal_targets	PLAYER / PLAYER_OWNED_DAMAGEABLE_SUMMON
friendly_fire	否
damage_taxonomy.required_fields	DamageForm / SourceFaction / ElementRule / HitKind / OwnerCredit
damage_taxonomy.ordinary_leader_core_element_rule	NONE
damage_taxonomy.dragon_and_pig_element_rule	BIDIRECTIONAL_FIVE_ELEMENT
core_boss.active_count	1
core_boss.first_spawn_s	300
core_boss.respawn_s	300
core_boss.court_rotation	SHUFFLE_3_COURTS_NO_IMMEDIATE_REPEAT
core_boss.variant	DRAW_ONE_OF_SIX_AT_MATCH_CREATION_AND_KEEP_FOR_ALL_RESPAWNS
core_boss.variant_changes_on_respawn	否
core_boss.eye_reveal_radius_m	10
core_boss.eye_shared_to_players_in_radius	是
core_boss.death_eye_anchor_s	10
core_boss.final_court_migration	AT_720_REVEAL_FINAL_COURT; ALIVE_NONFINAL_BOSS_REMAINS_KILLABLE_UNTIL_ITS_COURT_STORM_COVER; THEN_MIGRATE; DEAD_TIMER_DUE_BEFORE_1140_RESPAWNS_FINAL_COURT
core_boss.final_respawn_due_at_or_after_s	1140
core_boss.final_respawn_result	NO_RESPAWN
core_boss.forced_final_migration.eligible	LIVING_CORE_BOSS_IN_NONFINAL_COURT_AFTER_FINAL_COURT_REVEAL
core_boss.forced_final_migration.coverage_test_hz	20
core_boss.forced_final_migration.coverage_test	EVERY_VERTEX_OF_CURRENT_COURT_NAV_POLYGON_DISTANCE_TO_SAFE_CENTER_MM_GT_SAFE_RADIUS_MM
core_boss.forced_final_migration.trigger	FIRST_TICK_COVERAGE_TEST_TRUE
core_boss.forced_final_migration.same_tick_priority	PLAYER_AND_MONSTER_HITS_AND_LETHAL_COMMIT_BEFORE_SCHEDULED_MIGRATION; DEATH_WINS
core_boss.forced_final_migration.on_trigger	CLEAR_THREAT; BECOME_UNTARGETABLE_AND_NONCOLLIDING; START_1S_SKY_TRANSIT
core_boss.forced_final_migration.transit_s	1
core_boss.forced_final_migration.landing	FINAL_COURT_CENTER_AUTHORED_BOSS_POINT
core_boss.forced_final_migration.landing_invulnerable_s	1
