工程字段	唯一值 / 执行语义
player_capsule.radius_m	0.45
player_capsule.height_m	1.8
blink.semantic_block_tags	否
blink.maximum_continuous_solid_chord_m	1.5
blink.swept_capsule	是
blink.blocked_result	LAST_LEGAL_POINT
blink.solid_chord_rule	CAPSULE_MAY_CROSS_ONLY_WHEN_CONTINUOUS_INTERSECTION_CHORD_M_LTE_CONFIGURED_MAXIMUM; OTHERWISE_STOP_LAST_LEGAL_POINT
blink.no_map_object_semantic_blink_ban	是
flight.capsule_bottom_height_m	3
flight.whole_capsule_swept	是
flight.forced_land_search_m	6
flight.forced_land_fallback	LAST_LEGAL_GROUND_POINT_IN_THIS_FLIGHT
flight.collision_rule	WHOLE_CAPSULE_PHYSICAL_SWEEP_AGAINST_POLYGON_EXTRUSION_AT_CURRENT_Z
flight.no_map_object_semantic_flight_ban	是
movement_class_profiles.GROUND.locomotion_z	FOLLOW_WALKABLE_SURFACE
movement_class_profiles.GROUND.uses_navmesh	是
movement_class_profiles.GROUND.can_use_authored_ramps	是
movement_class_profiles.FLYING.innate	是
movement_class_profiles.FLYING.capsule_bottom_height_above_local_ground_m	3
movement_class_profiles.FLYING.horizontal_motion	PLAYER_INPUT_WITH_CONTINUOUS_3D_CAPSULE_SWEEP
movement_class_profiles.FLYING.can_cross_solid_only_when_entire_capsule_clears_extruded_height	是
movement_class_profiles.FLYING.does_not_require_ramp	是
movement_class_profiles.FLYING.ground_aoe_and_unit_targeting	NORMAL_UNLESS_EFFECT_EXPLICITLY_EXCLUDES_FLYING
movement_class_profiles.FLYING.ground_interaction_distance	HORIZONTAL_SURFACE_GAP; VERTICAL_OFFSET_IGNORED_FOR_LOOT_SHOP_CHEST
movement_class_profiles.FLYING.forced_land_from_G4_damage_rule	否
movement_class_profiles.TEMPORARY_EQUIPMENT_FLIGHT.eligible_owner_class	GROUND_ONLY
movement_class_profiles.TEMPORARY_EQUIPMENT_FLIGHT.capsule_bottom_height_above_local_ground_m	3
movement_class_profiles.TEMPORARY_EQUIPMENT_FLIGHT.enter_after_out_of_combat_s	5
movement_class_profiles.TEMPORARY_EQUIPMENT_FLIGHT.forced_land_on_actual_damage_dealt_or_received	是
movement_class_profiles.TEMPORARY_EQUIPMENT_FLIGHT.G4_on_innate_flying_owner	MOVE_SPEED_STAT_ONLY; NO_SECOND_FLIGHT_STATE
combat_volume_conventions.unit_target_range	HORIZONTAL_CAPSULE_SURFACE_GAP_LTE_RANGE_M
combat_volume_conventions.ground_point_range	HORIZONTAL_DISTANCE_FROM_CASTER_CAPSULE_CENTER_PROJECTION_LTE_RANGE_M
combat_volume_conventions.circle_hit	TARGET_HORIZONTAL_CAPSULE_OVERLAPS_CIRCLE; BOUNDARY_INCLUSIVE
combat_volume_conventions.line_width	FULL_WIDTH_METERS_CENTERED_ON_LINE; CAPSULE_OVERLAP; BOUNDARY_INCLUSIVE
combat_volume_conventions.cone_angle	FULL_INCLUDED_ANGLE_DEGREES; CAPSULE_OVERLAP; BOUNDARY_INCLUSIVE
combat_volume_conventions.ring_radius	CENTERLINE_RADIUS; WALL_THICKNESS_EXTENDS_EQUALLY_INWARD_AND_OUTWARD
combat_volume_conventions.default_shape_vertical_span	FROM_LOCAL_GROUND_Z_MINUS_0_5M_TO_LOCAL_GROUND_Z_PLUS_6_0M
combat_volume_conventions.flying_is_hit_by_default_shapes	是
combat_volume_conventions.direct_los	3D_SEGMENT_EYE_OR_PROJECTILE_ORIGIN_TO_TARGET_CAPSULE_AIM_POINT_AGAINST_EXTRUDED_SOLIDS
projectile_collision.continuous_sweep_each_20hz_tick	是
projectile_collision.basic_projectile_radius_m	0.12
projectile_collision.active_projectile_default_radius_m	0.2
projectile_collision.monster_projectile_default_radius_m	0.2
projectile_collision.first_contact_order	DISTANCE_ALONG_SWEEP_ASC_THEN_STATIC_SOLID_BEFORE_ACTOR_THEN_ENTITY_ID_ASC
projectile_collision.tunneling_through_thin_wall_or_actor	FORBIDDEN
map3d.base_ground_surface	TRIANGULATED_PLAYABLE_BOUNDARY_AT_Z0_EXCLUDING_STATIC_SOLID_FOOTPRINTS
map3d.highland_top_surfaces	AUTHORED_POLYGONS_AT_TABLE_D69_Z
map3d.ramp_surfaces	AUTHORED_RAMP_STRIPS_WITH_LINEAR_Z_BY_CENTERLINE_PROGRESS
map3d.minimum_vertical_clearance_m	2.4
map3d.static_wall_thickness	FOOTPRINT_POLYGON_AREA_IS_THE_THICKNESS; NO_ZERO_WIDTH_WALLS
map3d.occluder_and_collider_source	SAME_EXTRUDED_VOLUME; NO_SEPARATE_ART_ONLY_OCCLUDER
map3d.ground_material_default	STONE_DUST
map3d.ground_material_region_override	REGION_ID_TO_FOOTSTEP_MATERIAL_CLOSED_TABLE; COSMETIC_ONLY
map3d.dressing_exclusion	NAV_CORRIDOR_PLUS_0_75M / INTERACTION_PAD / SPAWN_AND_REVIVE_6M / BOSS_LANDING / DYNAMIC_SOLID_RESERVATION
region.authority	AUTHORED_SHARED_EDGE_POLYGON_TABLE_9_1A
region.point_query	POINT_IN_POLYGON; SHARED_EDGE_TIE=REGION_ID_ASC
region.coverage_assertion	UNION_EQUALS_PLAYABLE_BOUNDARY_AND_PAIRWISE_INTERIOR_OVERLAP_AREA_ZERO
dynamic_wall.trapped_repath	墙体生成/销毁的下一tick强制全体受影响实体重寻路
dynamic_wall.no_path_1s_fallback	连续1秒无合法路径→回退到最后合法Nav点（沿历史轨迹反向逐点验证）
dynamic_wall.never_teleport_through	是；任何回退不得穿越实体碰撞，逐段capsule sweep验证
nav_agent.PLAYER	radius=0.5m；height=1.8m；step=0.4m；slope=45deg；turn=INSTANT
nav_agent.ORDINARY_MONSTER	radius=0.5m；height=1.8m；step=0.4m；slope=45deg；turn=360deg/s
nav_agent.FLYING	radius=0.4m；height=1.4m；step=IGNORED_FLIGHT；slope=IGNORED_FLIGHT；turn=360deg/s
nav_agent.PIG	radius=0.8m；height=1.6m；step=0.4m；slope=45deg；turn=300deg/s
nav_agent.LEADER	radius=1.2m；height=2.4m；step=0.5m；slope=40deg；turn=240deg/s
nav_agent.DRAGON	radius=1.5m；height=2.8m；step=0.6m；slope=40deg；turn=200deg/s
nav_agent.CORE_BOSS	radius=2.0m；height=3.6m；step=0.6m；slope=35deg；turn=160deg/s
nav_agent.SUMMON	radius=各原型碰撞半径（E.34）；height=各原型碰撞高；step=0.4m；slope=45deg；turn=360deg/s
nav_agent.bake_rule	每代理半径独立烘焙NavMesh层；运行时禁止用半径修正代替独立层
