工程字段	唯一值 / 执行语义
common.transaction_id	MATCH_ID:ACCOUNT_ID:CLIENT_REQUEST_UUID
common.idempotent	是
common.server_receive_sequence	MONOTONIC_UINT64_PER_MATCH
common.lock_order	WORLD_ENTITY_ID_ASC_THEN_ACCOUNT_ID_ASC
pickup.steps	LOCK_ITEM_INSTANCE / VALIDATE_STILL_GROUND / VALIDATE_DISTANCE_LOS_LIFE_STATE / VALIDATE_DESTINATION_OR_REQUIRED_REPLACE_SELECTION / REMOVE_FROM_GROUND / WRITE_PLAYER_STATE / COMMIT_LEDGER / UNLOCK
pickup.concurrent_winner	LOWEST_SERVER_RECEIVE_SEQUENCE
pickup.los_required	是
pickup.distance_m	2
skill_book.empty_passive_slot	CONSUME_BOOK_AND_ADD_SAME_ID_LEVEL1
skill_book.same_id_not_level5	CONSUME_BOOK_AND_INCREMENT_ONE_LEVEL
skill_book.same_id_level5	REJECT; BOOK_REMAINS_GROUND
skill_book.different_id_all_four_slots_occupied	REQUIRE_EXPLICIT_OLD_SLOT; ATOMIC_REMOVE_OLD_SKILL_AND_ALL_ITS_TEMP_ENTITIES_AND_PERMANENT_LAYERS; CONSUME_NEW_BOOK; ADD_NEW_ID_LEVEL1
skill_book.cancel	BOOK_REMAINS_GROUND_PUBLIC
skill_book.book_stolen_before_confirm	FAIL_ITEM_GONE; KEEP_OLD_BUILD
active_replace.empty_slot	CONSUME_AND_SET_READY
active_replace.occupied	REQUIRE_CONFIRM; NEW_ACTIVE_STARTS_FULL_COOLDOWN
active_replace.true_death_after_replace	CURRENT_ACTIVE_BECOMES_READY
active_replace.taibai_new_exclusive	READY
active_replace.stolen_before_confirm	KEEP_OLD_ACTIVE
equipment.worn_slots	3
equipment.hand_slots_base	1
equipment.same_name_worn_unique	是
equipment.same_name_may_be_held_or_sold	是
equipment.full	REQUIRE_EXPLICIT_DROP_OR_REPLACE_SELECTION_IN_SAME_TRANSACTION
equipment.extra_hand_from_P8	1
equipment.capacity_recheck_after_removing_P8	IF_TWO_HAND_ITEMS, DROP_MOST_RECENTLY_ACQUIRED_NON_P8_INSTANCE_PUBLIC_AT_FEET; TIE_INSTANCE_ID_DESC
gem.goes_to_hud_bank	是
gem.ground_drop_allowed	否
gem.all_passives_level5	REJECT_PICKUP_OR_PURCHASE
true_death_cancels_uncommitted_modal_transactions	是
sell.steps	LOCK_SHOP_PLAYER_AND_ITEM / VALIDATE_OPEN_DISTANCE_OUT_OF_PVP_AND_OWNERSHIP / SNAPSHOT_BASE_AND_B35_MODIFIER / RECONFIRM_IF_PURPLE_OR_GOLD / REMOVE_ITEM_FROM_SLOT / DESTROY_ITEM_INSTANCE / CREATE_GOLD / COMMIT_LEDGER
sell.cancel	NO_CHANGE
sell.disconnect_before_commit	ABORT
sell.disconnect_after_commit	IDEMPOTENT_RESULT
purchase.authority	§12.3及§E.17商店规则
purchase.window	REQUEST_MUST_COMMIT_INSIDE_HALF_OPEN_INSTANCE_WINDOW
purchase.inventory_full	DROP_OR_REPLACE_SIDE_EFFECT_OCCURS_ONLY_INSIDE_SUCCESSFUL_PURCHASE_COMMIT
purchase.stale_or_sold_out	NO_GOLD_NO_ITEM_NO_OLD_ITEM_SIDE_EFFECT
taibai_swap.authority	§12.3及§E.17商店规则
taibai_swap.channel_is_not_transaction_commit	是
taibai_swap.gold_and_service_cooldown_start_only_at_successful_swap_commit	是
hero_draft.authority	§2及附录A英雄成长规则
hero_draft.reroll_and_timeout_race	SERVER_COMMIT_TICK_BEFORE_TIMEOUT_WINS; OTHERWISE_TIMEOUT_LEFTMOST
