工程字段	唯一值 / 执行语义
EffectType	CONTROL / DAMAGE / ECONOMY_CREATE_GOLD / HEAL / MOVEMENT / SCRIPTED / SHIELD / SUMMON
DamageForm	BASIC / SKILL / DOT / PERCENT / REFLECT / STORM / TRUE
SourceFaction	PLAYER_OWNED / MONSTER / WORLD
ElementRule	NONE / OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT / BIDIRECTIONAL_FIVE_ELEMENT
HitKind	DIRECT / ABILITY / AREA / PERIODIC / REFLECTED / ENVIRONMENT
OwnerCredit	CASTER / SUMMON_OWNER / MONSTER / WORLD
LifeState	ALIVE / TRUE_DEATH_RESOLVING / SOUL_FLIGHT / REVIVE_PROTECTION / ELIMINATED
RuleStatus	DESIGN_PASS / BLOCKING_PRERELEASE_ENGINE / BLOCKING_PRERELEASE_DEVICE / MONITOR_ONLY / BLOCKING_PRERELEASE_EXTERNAL / EXECUTION_REQUIRED
unknown_enum_policy	REJECT_CONTENT_BUILD; NEVER_FALLBACK_TO_STRING_OR_DEFAULT
Platform	ANDROID / IOS / WINDOWS
InputMode	TOUCH / KEYBOARD_MOUSE
ContentNamespace	HERO / ACTIVE_EXCLUSIVE / ACTIVE_GENERIC / PASSIVE / EQUIPMENT / MONSTER_ARCHETYPE / MONSTER_VISUAL / MAP_NODE / MAP_PIG_DEN / MAP_DRAGON_ARENA / MAP_LEADER_FIELD / MAP_COURT / MAP_SHOP_POINT / SHOP_INSTANCE / GROUND_ITEM_INSTANCE / PLAYER_ENTITY / MONSTER_ENTITY
Targeting	SELF / DIRECTION / GROUND_POINT / VISIBLE_ENEMY / SELF_FORWARD / VISIBLE_ANY_HERO_OR_SELF / GROUND_POINT_OR_SELF / VISIBLE_ENEMY_OR_SELF / TWO_VISIBLE_UNITS / VISIBLE_MONSTER_OR_ENEMY / GROUND_POINT_OR_OWN_TRAP
CastType	INSTANT / WINDUP / CHANNEL / TOGGLE
Shape	CIRCLE / CONE / LINE / LINE_WALL / NONE / POINT / PROJECTILE / RING_WALL
EquipmentEffectType	ACTIVE_COOLDOWN_RATE / ALL_GOLD_INCOME_MULTIPLIER / BASIC_ATTACK_RANGE_FLAT / BASIC_LIFESTEAL / BASIC_ON_HIT_DOT / BASIC_SAME_TARGET_ATTACK_SPEED_STACK / BLACK_MOUNTAIN_OUTCOME_OVERRIDE / CONDITIONAL_BONUS_DAMAGE_REDUCTION / CONDITIONAL_DAMAGE_MULTIPLIER / CRIT_DAMAGE_BONUS / DAMAGE_MULTIPLIER / DIRECT_VISION_RADIUS_MULTIPLIER / ELEMENT_COUNTER_MULTIPLIER_OVERRIDE / EXTRA_HAND_SLOT / FIXED_DAMAGE_REDUCTION / FLIGHT_OUT_OF_COMBAT / FORCED_MOVEMENT_DISTANCE_MULTIPLIER / GLOBAL_ACTIVE_CAST_PING / HARD_CONTROL_AND_FORCED_MOVEMENT_RESIST / LETHAL_PROTECTION_CONSUMABLE / NONE / OFFENSIVE_STEALTH_BREAK_MOVE_SPEED / ON_ENEMY_PLAYER_TRUE_DEATH_ACTIVE_READY / ON_ENEMY_PLAYER_TRUE_DEATH_HEAL / ON_MONSTER_KILL_GOLD_CREATE / OWNER_HARD_CONTROL_DURATION_ADD / PERCENT_DAMAGE_REDUCTION / PERMANENT_ATTACK_ON_KILL / REFLECT / REGEN / SHOE_ONLY / SLOW_IMMUNITY / SLOW_MAGNITUDE_MULTIPLIER / STATIONARY_STEALTH / STAT_ONLY / STORM_DAMAGE_REDUCTION / SUMMON_ATTACK_MULTIPLIER / SUMMON_HP_AND_ATTACK_MULTIPLIER / TRUE_SIGHT
PassiveTrigger	BASIC_HIT_DOT / BASIC_HIT_PROC / BASIC_HIT_PROC_TRANSFER_GOLD / BASIC_HIT_STACK / CONTINUOUS_MOVEMENT_STACK / DIRECT_DAMAGE_CONDITIONAL / DIRECT_DAMAGE_FROM_BACK_ARC / FIRST_DIRECT_HIT_AFTER_GAP / INCOMING_ACTUAL_DAMAGE_PROC / INCOMING_BASIC_FIXED_REDUCTION / INCOMING_BASIC_PRE_HIT_PROC / INCOMING_BASIC_PROC_PRE_DAMAGE / LETHAL_PROC / LETHAL_PROTECTION_ONCE_MATCH / LOW_HP_HUNT / MISSING_HP_SCALING / MOVING_AFTERIMAGE / NORMAL_STORM_ZONE_MODIFIER / ON_ELIGIBLE_KILL_PERMANENT_MAX_HP / ON_ENEMY_BOUNTY_TARGET_TRUE_DEATH / ON_KILL_GOLD_CREATE / ON_MONSTER_KILL_NESTED_CHEST / ON_OWNER_TRUE_DEATH_MARK_KILLER / OUT_OF_ANY_COMBAT_REGEN / OUT_OF_ANY_COMBAT_SUMMON / OWNED_SUMMON_DEATH / POST_INCOMING_BASIC_REFLECT / POST_SKILL_DAMAGE_IF_SURVIVES / SELL_AND_PICKUP_ECONOMY / SERVER_MINUTE_INTEREST / WHEN_CRITICALLY_HIT / WHILE_HARD_CONTROLLED
MapMonsterKind	FLY / MEL / RNG
MapBand	INNER / MIDDLE / OUTER
