工程字段	唯一值 / 执行语义
product_id	SANMING_WUCHANG
title_zh_cn	三命无常
match.players	30
match.mode	SOLO
match.lives_per_player	3
match.winner_condition	EXACTLY_ONE_PARTICIPANT_NOT_IN_ELIMINATED
match.alive_body_count_is_not_winner_condition	是
match.simultaneous_tie_requires_all_candidates_eliminated_after_lethal_chain	是
match.co_champion.placement	1
match.co_champion.next_placement_skips_tied_places	是
match.co_champion.mmr_placement_value	AVERAGE_ORDINAL_OF_TIED_SLOTS
match.co_champion.each_gets_full_out_of_match_champion_reward	是
match.co_champion.does_not_duplicate_in_match_economy	是
match.server_anomaly_insurance_s	1800
match.insurance_is_not_player_facing_sudden_death	是
match.insurance_result	ABORT_AND_MANUAL_REVIEW_IF_NO_WINNER
life_transaction.idempotency_key	MATCH_ID+PLAYER_ID+TRUE_DEATH_ORDINAL
life_transaction.commit_order	RESOLVE_LETHAL_PROTECTION / CONSUME_ONE_LIFE_IF_AVAILABLE / COMMIT_DEATH_CREDIT_AND_DROPS / RESET_TRUE_DEATH_STATE / ASSIGN_REVIVE_POINT / ENTER_SOUL_FLIGHT_OR_ELIMINATED
life_transaction.projectile_owner_eliminated	CONTINUE_AND_CREDIT_OWNER_WITH_ALL_NORMAL_KILL_REWARDS
life_transaction.monster_final_blow.credit	MONSTER
life_transaction.monster_final_blow.player_kill_rewards	否
life_transaction.monster_final_blow.break_victim_kill_streak	是
life_transaction.monster_final_blow.B41_without_player_target	DESTROY_WITHOUT_REWARD
life_transaction.monster_final_blow.D12_on_target_true_death	CLEAR
life_transaction.victim_wallet_snapshot	LAST_COMMITTED_BALANCE_BEFORE_LETHAL_DAMAGE_APPLICATION
true_death_reset.authority	§2及附录A英雄成长规则
aborted_match.mmr	NO_CHANGE
aborted_match.xiuwei	FIXED_PARTICIPATION_COMPENSATION_20
aborted_match.tasks_progress	否
aborted_match.in_match_gold_carries_out	否
aborted_match.diagnostic_replay_retained	是
aborted_match.report_entry_available	是
storm.authority	§10天劫规则
storm.freedom_invariant	APOCALYPSE_DOES_NOT_DISABLE_STEALTH_OR_FORCE_REVEAL
lethal_resolution.atomic_scope	ONE_LETHAL_DAMAGE_INSTANCE_PER_TARGET_PER_SERVER_TICK_ORDER
lethal_resolution.priority	DAMAGE_IMMUNITY_OR_DODGE / SHIELD_ABSORPTION / HP_DAMAGE_COMMIT / B19_FEIGN_DEATH_ROLL / G1_NINE_TURN_PILL_IF_OWNED / B20_PASSIVE_REVIVE_IF_CHARGE_AVAILABLE / CONSUME_ONE_LIFE_AND_COMMIT_TRUE_DEATH / ELIMINATE_IF_NO_LIFE_REMAINS
lethal_resolution.H032_KASAYA	PREVENTS_DAMAGE_BEFORE_LETHAL_CHAIN; IT_IS_NOT_A_LETHAL_PROTECTION
lethal_resolution.B19_success	SET_HP_BY_LEVEL; DO_NOT_CONSUME_LIFE; DO_NOT_DROP; DO_NOT_RESET_COOLDOWNS
lethal_resolution.G1_success	CONSUME_ITEM_INSTANCE; SET_FULL_HP; INVULNERABLE_2S; DO_NOT_CONSUME_LIFE
lethal_resolution.B20_success	CONSUME_MATCH_CHARGE; SET_HP_BY_LEVEL; DO_NOT_CONSUME_LIFE; DO_NOT_DROP; DO_NOT_RESET_COOLDOWNS
lethal_resolution.true_death_only_after_all_protections_fail	是
lethal_resolution.same_tick_new_damage_after_protection	NEW_DAMAGE_INSTANCE_REENTERS_CHAIN; INVULNERABILITY_APPLIES_IF_ACTIVE
machine_authorities.heroes	§2及附录A英雄成长规则
machine_authorities.active_skills	§6主动技能规则
machine_authorities.passives	§7被动技能规则
machine_authorities.equipment	§8装备规则
machine_authorities.combat	§5战斗规则
machine_authorities.elements	§5战斗规则
machine_authorities.storm	§10天劫规则
machine_authorities.map	§9及附录D地图规则
machine_authorities.monsters	§11怪物规则
machine_authorities.monster_ai	§11怪物规则
machine_authorities.monster_visuals	§11怪物规则
machine_authorities.directed_books	§12及附录C经济掉落规则
machine_authorities.directed_equipment	§8装备规则
machine_authorities.shops	§12.3及§E.17商店规则
machine_authorities.shop_bags	§12.3及§E.17商店规则
machine_authorities.black_mountain	§12.5及§E.18黑山规则
machine_authorities.economy	§12及附录C经济掉落规则
machine_authorities.transactions	§15工程运行规则
machine_authorities.ground_loot	§12地面物与空投规则
machine_authorities.movement	RULE-MAP-001
machine_authorities.dynamic_solids	RULE-MAP-001
machine_authorities.summons	RULE-CORE-001
machine_authorities.input	§3输入与界面规则
machine_authorities.ui_flow	§3输入与界面规则
