工程字段	唯一值 / 执行语义
applies_to	H031_PAGODA / H036_FROZEN_RIVER / AIR_DROP_RESERVED_VOLUME
query_order	CLAMP_OR_CANCEL_BY_SKILL_RANGE_RULE / BUILD_PROPOSED_3D_SOLID / REJECT_MAP_BOUNDARY_OR_EXISTING_SOLID_PENETRATION / REJECT_ANY_LIVING_ACTOR_CAPSULE_OVERLAP / REJECT_SHOP_INTERACTION_PAD / REJECT_CHEST_INTERACTION_PAD_OR_AIRDROP_RESERVATION / REJECT_BOSS_SPAWN_BODY_AND_MIGRATION_LANDING_VOLUME / REJECT_IF_CLOSES_LAST_NAV_PATH_OF_ANY_OCCUPIED_ENCLOSURE / COMMIT_ENTITY
invalid_cast	NO_ENTITY; NO_COOLDOWN; NO_RESOURCE_COST; CLIENT_SHOWS_INVALID_PREVIEW
H031_overlap_at_formation.telegraph_s	0.6
H031_overlap_at_formation.cast_commit	RESERVE_RING_VOLUME_WITHOUT_SOLID_COLLISION
H031_overlap_at_formation.formation_revalidate	AT_TELEGRAPH_END_REJECT_IF_LAST_NAV_PATH_WOULD_CLOSE
H031_overlap_at_formation.actor_resolution	FOR_EACH_OVERLAPPING_CAPSULE_ENTITY_ID_ASC_PROJECT_TO_NEAREST_LEGAL_POINT_ON_INNER_OR_OUTER_SIDE
H031_overlap_at_formation.distance_tie	INNER_SIDE_WINS
H031_overlap_at_formation.no_legal_point_within_3m	CANCEL_FORMATION_AND_REFUND_COOLDOWN
H036.semantic_blink_block	否
H036.semantic_flight_block	否
H036.physical_collision_only	是
destroyed_or_expired	REBUILD_LOCAL_NAV_AND_REVALIDATE_PENDING_PATHS_NEXT_TICK
D20.solid	否
D20.visible_trigger_entity	是
D20.uses_solid_placement_query	否
