工程字段	唯一值 / 执行语义
last_hit.monster_gold_xp	FINAL_DAMAGE_OWNER_ONLY
last_hit.core_boss_gold_xp	FINAL_DAMAGE_OWNER_ONLY
last_hit.monster_final_blow_on_player	MONSTER_CREDIT_NO_PLAYER_REWARD
last_hit.world_kills_monster	NO_GOLD_XP_BUT_PUBLIC_ITEM_DROPS_STILL_ROLL
monster_tables.ORDINARY_OUTER.gold	90
monster_tables.ORDINARY_OUTER.xp	28
monster_tables.ORDINARY_OUTER.book_chance_percent	10
monster_tables.ORDINARY_OUTER.gem_chance_percent	30
monster_tables.ORDINARY_MIDDLE.gold	140
monster_tables.ORDINARY_MIDDLE.xp	40
monster_tables.ORDINARY_MIDDLE.book_chance_percent	10
monster_tables.ORDINARY_MIDDLE.gem_chance_percent	30
monster_tables.ORDINARY_INNER.gold	180
monster_tables.ORDINARY_INNER.xp	56
monster_tables.ORDINARY_INNER.book_chance_percent	10
monster_tables.ORDINARY_INNER.gem_chance_percent	30
monster_tables.FLYING_OUTER.gold	140
monster_tables.FLYING_OUTER.xp	40
monster_tables.FLYING_OUTER.book_chance_percent	20
monster_tables.FLYING_OUTER.gem_chance_percent	30
monster_tables.FLYING_MIDDLE.gold	200
monster_tables.FLYING_MIDDLE.xp	56
monster_tables.FLYING_MIDDLE.book_chance_percent	20
monster_tables.FLYING_MIDDLE.gem_chance_percent	30
monster_tables.FLYING_INNER.gold	260
monster_tables.FLYING_INNER.xp	78
monster_tables.FLYING_INNER.book_chance_percent	20
monster_tables.FLYING_INNER.gem_chance_percent	30
monster_tables.PIG.gold	700
monster_tables.PIG.xp	80
monster_tables.PIG.book_chance_percent	55
monster_tables.PIG.gem_chance_percent	60
monster_tables.PIG.equipment.chance_percent	25
monster_tables.PIG.equipment.quality_percent.WHITE	60
monster_tables.PIG.equipment.quality_percent.BLUE	30
monster_tables.PIG.equipment.quality_percent.PURPLE	10
monster_tables.LEADER.gold	1400
monster_tables.LEADER.xp	200
monster_tables.LEADER.book_count	1
monster_tables.LEADER.gem_count	2
monster_tables.LEADER.equipment.chance_percent	75
monster_tables.LEADER.equipment.quality_percent.WHITE	35
monster_tables.LEADER.equipment.quality_percent.BLUE	40
monster_tables.LEADER.equipment.quality_percent.PURPLE	25
monster_tables.LEADER.generic_active_chance_percent	10
monster_tables.DRAGON.gold	2000
monster_tables.DRAGON.xp	300
monster_tables.DRAGON.book_count	0
monster_tables.DRAGON.gem_count	3
monster_tables.DRAGON.equipment.count	1
monster_tables.DRAGON.equipment.quality_percent.BLUE	55
monster_tables.DRAGON.equipment.quality_percent.PURPLE	35
monster_tables.DRAGON.equipment.quality_percent.GOLD	10
monster_tables.DRAGON.equipment.gold_pool	G1_G9
monster_tables.DRAGON.counter_last_hit_upgrade.BLUE	PURPLE
monster_tables.DRAGON.counter_last_hit_upgrade.PURPLE	GOLD
monster_tables.DRAGON.counter_last_hit_upgrade.GOLD	GOLD
monster_tables.DRAGON.counter_last_hit_upgrade.redraw_within_upgraded_element_theme	是
monster_tables.CORE_BOSS.gold	3000
monster_tables.CORE_BOSS.xp	400
monster_tables.CORE_BOSS.book_count	2
monster_tables.CORE_BOSS.gem_count	3
monster_tables.CORE_BOSS.equipment.count	1
monster_tables.CORE_BOSS.equipment.quality_percent.PURPLE	75
monster_tables.CORE_BOSS.equipment.quality_percent.GOLD	25
monster_tables.CORE_BOSS.equipment.gold_pool	G1_G9
monster_tables.CORE_BOSS.independent_G10_chance_percent	5
monster_tables.CORE_BOSS.generic_active_count	1
directed_selection.category_tendency_chance_percent.BOOK	50
directed_selection.category_tendency_chance_percent.EQUIPMENT	35
directed_selection.procedure	ROLL_CATEGORY_TENDENCY_ONCE / SELECT_TENDENCY_OR_GLOBAL_LEGAL_POOL / FILTER_BY_ALREADY_FIXED_QUALITY_AND_ITEM_GENERATION_CONTEXT / READ_FINAL_PER_ID_WEIGHTS_FROM_DIRECTED_CSV / ONE_INTEGER_WEIGHTED_DRAW
directed_selection.never_apply_50_or_35_twice	是
directed_selection.quality_probability_never_changed_by_tendency	是
directed_selection.empty_pool	FALLBACK_GLOBAL_LEGAL_SAME_CATEGORY_AND_QUALITY
directed_selection.weights_are_hidden_from_client	是
directed_selection.item_generation_context_filter.apply_before_weighted_draw	是
directed_selection.item_generation_context_filter.P10	ELIGIBLE_ONLY_IF_HEISHAN_SERVICE_OPEN_AT_REWARD_COMMIT_TICK
directed_selection.item_generation_context_filter.empty_after_filter	FALLBACK_GLOBAL_LEGAL_SAME_CATEGORY_AND_QUALITY_WITH_SAME_CONTEXT_FILTER
directed_selection.item_generation_context_filter.existing_ground_or_owned_P10_is_never_destroyed_by_this_filter	是
ground_ownership	PUBLIC_IMMEDIATELY_NO_LAST_HIT_PROTECTION
absent_optional_drop_category	ZERO_ITEMS_AND_ZERO_ROLLS
G5.eligible_ledger_classes	MONSTER_BASE / PLAYER_KILL_BASE_LEVEL / FINAL_LIFE_BONUS / EQUIPMENT_SELL_BASE / B8_MONSTER_BONUS / B31_STEAL_TRANSFER / B32_KILL_CREATE / B33_CHEST / B34_INTEREST / B35_SELL_BONUS / B35_PICKUP_CREATE / D15_EXECUTE_BASE / D15_PLAYER_STEAL_TRANSFER / D16_CREATE / D17_BOUNTY / MAP_CHEST / AIRDROP / BLACK_MOUNTAIN_POSITIVE_NET_PROFIT
