工程字段	唯一值 / 执行语义
logical_view.aspect	16:9
logical_view.world_information_equal_across_platforms	是
mobile.move	LEFT_STICK
mobile.basic	BASIC_BUTTON
mobile.active_tap_AIM_POINT	NEAREST_VISIBLE_LEGAL_ENEMY_FEET_ELSE_FACING_DEFAULT_RANGE
mobile.active_drag	PRECISION_AIM_RELEASE_TO_CAST
mobile.explicit_lock	DRAG_BASIC_BUTTON_TOWARD_TARGET_LOCK_2S
mobile.context_tap	ACTIVATE_HIGHLIGHTED_OR_CYCLE_OVERLAP_CANDIDATES
mobile.context_hold	OPEN_LOOT_CLUSTER_LIST
windows.move	WASD
windows.basic	MOUSE_LEFT
windows.active	MOUSE_RIGHT
windows.precision_hold_s	0.22
windows.precision_pointer_threshold_px	4
windows.interact	E
windows.ui_pointer_events_consume_world_cast	是
windows.right_hold_drag	AFTER_0_22S_SHOW_PREVIEW; RELEASE_CAST; SHORT_CLICK_SMART_CAST
facing_sector_full_angle_deg	24
target_tie_break	MOST_RECENT_VALID_DAMAGE_TO_SELF / SMALLEST_SCREEN_ANGLE / SHORTEST_NAV_DISTANCE / ENTITY_ID
unit_target_requires_direct_visibility	是
unit_target_range_cannot_exceed_legal_direct_vision	是
long_range_aim.presentation_camera_lead_max_m	20
long_range_aim.grants_extra_enemy_information	否
long_range_aim.minimap_ray_allowed	是
chest_channels.NORMAL_B33_s	0.35
chest_channels.AIRDROP_s	3
app_focus_lost	ZERO_MOVE_CANCEL_UNCOMMITTED_CHANNEL_AND_AFTER_3S_USE_DISCONNECT_BOT
supported_platforms	ANDROID / IOS / WINDOWS
controller_supported	否
basic_hold.touch	HOLD_BASIC_BUTTON
basic_hold.windows	HOLD_MOUSE_LEFT
basic_hold.repeat	START_NEXT_WINDUP_WHEN_ATTACK_INTERVAL_READY
basic_hold.retarget_each_windup	是
basic_hold.release	STOP_STARTING_NEW_WINDUP; COMMITTED_RELEASE_CONTINUES
modal_damage_close_policy.SHOP	POSITIVE_HP_OR_SHIELD_DAMAGE_FROM_PLAYER_OWNED_SOURCE_ONLY
modal_damage_close_policy.EQUIPMENT_SWAP_CHANNEL	ANY_POSITIVE_HP_OR_SHIELD_DAMAGE
modal_damage_close_policy.ITEM_REPLACE_CONFIRM	ANY_POSITIVE_HP_OR_SHIELD_DAMAGE
modal_damage_close_policy.CHEST_CHANNEL	READ_AIRDROP_OR_NORMAL_CHEST_INTERRUPT_CONTRACT
modal_damage_close_policy.FULL_IMMUNE_OR_DODGE	DOES_NOT_CLOSE_OR_INTERRUPT
windows.interact_tap	E; ACTIVATE_HIGHEST_PRIORITY_OR_CYCLE_OVERLAP_CANDIDATES
windows.interact_hold_s	0.35
windows.interact_hold	OPEN_NEARBY_LOOT_CLUSTER_LIST
windows.inventory_panel_hold	TAB
windows.build_system	NONE
two_target.first_confirm	ENTER_WAIT_SECOND_TARGET_AND_HIGHLIGHT_FIRST
two_target.second_timeout_s	3
two_target.cancel_timeout_or_first_invalid	CANCEL_NO_COOLDOWN
two_target.mobile	FIRST_TAP_CONFIRM_A_THEN_SECOND_TAP_CONFIRM_B; CANCEL_BUTTON_VISIBLE
two_target.windows	LEFT_CLICK_A_THEN_LEFT_CLICK_B; RIGHT_CLICK_OR_ESCAPE_CANCEL
trap.mobile.tap	DETONATE_NEAREST_OWN_TRAP_TO_AIM_VECTOR
trap.mobile.hold	OPEN_MAX_THREE_TRAP_SELECTOR
trap.windows.tap	RIGHT_CLICK_OWN_TRAP_OR_ACTIVE_TAP_DETONATES_CURSOR_NEAREST
trap.windows.hold	RIGHT_HOLD_OPENS_NUMBERED_TRAP_SELECTOR
aim.ground_point_resolution	相机射线与首个合法可走面交点（自上而下逐层）；无交点时钳制到最近合法面边缘
aim.direction_plane	方向技能以角色瞄准高度（胸口1.2m）水平面解算方向；不随地面坡度扭曲
aim.projectile_3d	弹道一律真实3D capsule扫掠；高台上下层按真实高度差命中或越过
aim.pc_mobile_identical_solver	是；PC鼠标与手机拖拽共用同一解算器，仅输入采样不同
multi_interact.d20_press	短按：有己方陷阱→引爆瞄准向量最近陷阱；无陷阱→放置。长按：始终打开陷阱选择器
