工程字段	唯一值 / 执行语义
entity_id	SERVER_MONOTONIC_UINT64_PER_MATCH; NEVER_REUSED
event_id	MATCH_ID:SERVER_TICK:EVENT_SEQUENCE_UINT32
same_tick_order	EVENT_SEQUENCE_ASC
canonical_json	RFC8785_JCS_UTF8
replay_hash.algorithm	BLAKE3
replay_hash.domain	SANMING_WUCHANG_REPLAY_V3_0
replay_hash.input	LEN_PREFIX(DOMAIN)||LEN_PREFIX(PREV_HASH_32)||LEN_PREFIX(CANONICAL_EVENT_BYTES)
snapshot_hash.algorithm	BLAKE3
snapshot_hash.domain	SANMING_WUCHANG_SNAPSHOT_V3_0
snapshot_hash.entity_order	ENTITY_ID_ASC
snapshot_hash.component_order	COMPONENT_TYPE_ID_ASC
snapshot_hash.numeric_contract	本文对应章节
ruleset_compatibility	SERVER_LOADS_EXACT_RULESET_HASH_RECORDED_BY_MATCH; NO_LIVE_HOT_SWAP
content_mismatch	REJECT_JOIN_AND_REQUEST_PATCH
optimistic_version	ALL_MUTABLE_BACKEND_RESOURCES_USE_ETAG_OR_VERSION_UINT64
idempotency_ttl_hours	48
simulation_numeric.position	MM_INT64
simulation_numeric.velocity	MM_PER_S_INT64
simulation_numeric.time	20HZ_TICK_UINT64
simulation_numeric.damage_formula	Q4_INT64
simulation_numeric.hp	INT64
simulation_numeric.probability	PPM_UINT32
simulation_numeric.floating_point_in_authoritative_simulation	否
domain_compat.legacy_v2_5_replays	只读解析器按V2_5旧schema独立命名空间加载；禁止与V3_0域混合校验或续写
domain_compat.v3_0_reader_rejects_v2_5	是；域字符串不匹配直接拒绝并报DOMAIN_MISMATCH
