工程字段	唯一值 / 执行语义
modals.GENERIC_ACTIVE_REPLACE.opens_when	ACTIVE_SLOT_OCCUPIED_AND_NEW_ACTIVE_PICKED
modals.EQUIPMENT_REPLACE.required_when_hand_full	是
modals.LOOT_CLUSTER.mobile_hold_opens	是
modals.LOOT_CLUSTER.pc_interact_then_list	是
modals.NORMAL_CHEST_CHANNEL.duration_s	0.35
modals.AIRDROP_CHANNEL.duration_s	3
item_disappeared_during_modal	CLOSE_AND_SHOW_ALREADY_PICKED
pointer_click_through	否
spectator.delay_s	5
spectator.invalid_target	NEAREST_NOT_ELIMINATED_ELSE_PUBLIC_FINAL_COURT_CAMERA
spectator.free_camera	否
shop.open_gate	ALIVE_AND_PVP_OUT_3S_AND_WITHIN_2_5M_DIRECT_LOS_AND_INSTANCE_WINDOW_OPEN
shop.authoritative_fields	shop_instance_id / instance_version / window_open_tick / window_end_tick / listing_instance_id / item_ref / price / remaining_stock
shop.sold_out_slot	VISIBLE_DISABLED_UNTIL_ROTATION; NEVER_HIDE_AS_IF_NOT_ROLLED
shop.rotation_warning_s	10
shop.permanent_close_warning_s	30
shop.purchase_pending	DISABLE_ONLY_SUBMITTED_LISTING_ON_THIS_CLIENT; SERVER_COMMIT_DECIDES
shop.purchase_race_loser	SHOW_SOLD_OUT_NO_GOLD_CHANGE_AND_REFRESH_LISTING
shop.inventory_full	OPEN_EXPLICIT_REPLACE_OR_DROP_MODAL_WITHOUT_RESERVING_LISTING
shop.incoming_player_damage	POSITIVE_HP_OR_SHIELD_DAMAGE_CLOSES_UI_AND_CANCELS_UNCOMMITTED_REQUEST
shop.reconnect	DISCARD_CACHED_LISTING_AND_FETCH_CURRENT_INSTANCE_VERSION
shop.P10_after_heishan_close	SHOW_SPECIAL_EFFECT_DORMANT_BUT_MAX_HP_AND_SELL_VALUE_REMAIN
shop.taibai_gate	ALIVE_AND_PVP_OUT_5S_AND_WITHIN_2_5M_DIRECT_LOS_AND_INSTANCE_WINDOW_OPEN
shop.remaining_time_display	DERIVE_FROM_WINDOW_END_TICK_MINUS_CURRENT_SERVER_TICK; NEVER_ACCEPT_CLIENT_COUNTDOWN_AS_AUTHORITY
shop.monster_or_storm_damage	DOES_NOT_CLOSE_SHOP_UI_BY_ITSELF
shop.at_window_end	CLOSE_UI_BEFORE_INPUT_VALIDATION_AND_SHOW_SHOP_MOVED_OR_CLOSED
elevation.minimap_arrow	可见敌人处于不同可走层时小地图图标附↑/↓箭头；同层无箭头
elevation.lock_indicator	锁定目标高度差≥2m时目标框显示高度差图标
elevation.no_fog_leak	箭头与图标只对已可见/已显形目标生成；不因此泄露迷雾信息
